zt, wre_ref, wre, wre_refF, wm_ref, wm, wm_refF, va, ia, dwre, zdwre, e_induced
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.001000, 0.000000, -0.009996, 0.000000, 0.000000, -0.095457, 0.000000, 0.001798, 0.000148, 0.008997, 0.000004, -0.009996
0.002000, 0.000000, -0.019961, 0.000000, 0.000000, -0.190619, 0.000000, 0.002750, 0.000574, 0.018967, 0.000019, -0.019961
0.003000, 0.000000, -0.029873, 0.000000, 0.000000, -0.285272, 0.000000, 0.002724, 0.001245, 0.028885, 0.000043, -0.029873
0.004000, 0.000000, -0.039706, 0.000000, 0.000000, -0.379171, 0.000000, 0.001838, 0.002131, 0.038727, 0.000078, -0.039706
0.005000, 0.000000, -0.049440, 0.000000, 0.000000, -0.472123, 0.000000, 0.000195, 0.003204, 0.048472, 0.000122, -0.049440
0.006000, 0.000000, -0.059059, 0.000000, 0.000000, -0.563981, 0.000000, -0.002107, 0.004440, 0.058102, 0.000176, -0.059059
0.007000, 0.000000, -0.068547, 0.000000, 0.000000, -0.654589, 0.000000, -0.004985, 0.005816, 0.067604, 0.000239, -0.068547
0.008000, 0.000000, -0.077892, 0.000000, 0.000000, -0.743824, 0.000000, -0.008360, 0.007313, 0.076964, 0.000312, -0.077892
0.009000, 0.000000, -0.087081, 0.000000, 0.000000, -0.831579, 0.000000, -0.012163, 0.008912, 0.086169, 0.000394, -0.087081
0.010000, 0.000000, -0.096107, 0.000000, 0.000000, -0.917774, 0.000000, -0.016332, 0.010598, 0.095212, 0.000485, -0.096107
0.011000, 0.000000, -0.104960, 0.000000, 0.000000, -1.002314, 0.000000, -0.020810, 0.012356, 0.104083, 0.000585, -0.104960
0.012000, 0.000000, -0.113634, 0.000000, 0.000000, -1.085147, 0.000000, -0.025545, 0.014172, 0.112775, 0.000694, -0.113634
0.013000, 0.000000, -0.122124, 0.000000, 0.000000, -1.166221, 0.000000, -0.030494, 0.016036, 0.121283, 0.000811, -0.122124
0.014000, 0.000000, -0.130426, 0.000000, 0.000000, -1.245498, 0.000000, -0.035614, 0.017936, 0.129604, 0.000937, -0.130426
0.015000, 0.000000, -0.138536, 0.000000, 0.000000, -1.322946, 0.000000, -0.040870, 0.019864, 0.137734, 0.001071, -0.138536
0.016000, 0.000000, -0.146452, 0.000000, 0.000000, -1.398544, 0.000000, -0.046228, 0.021810, 0.145669, 0.001213, -0.146452
0.017000, 0.000000, -0.154173, 0.000000, 0.000000, -1.472277, 0.000000, -0.051661, 0.023769, 0.153410, 0.001363, -0.154173
0.018000, 0.000000, -0.161698, 0.000000, 0.000000, -1.544137, 0.000000, -0.057142, 0.025732, 0.160955, 0.001521, -0.161698
0.019000, 0.000000, -0.169027, 0.000000, 0.000000, -1.614123, 0.000000, -0.062647, 0.027694, 0.168303, 0.001686, -0.169027
0.020000, 0.000000, -0.176160, 0.000000, 0.000000, -1.682236, 0.000000, -0.068157, 0.029651, 0.175455, 0.001858, -0.176160
0.021000, 0.000000, -0.183097, 0.000000, 0.000000, -1.748486, 0.000000, -0.073653, 0.031597, 0.182412, 0.002038, -0.183097
0.022000, 0.000000, -0.189841, 0.000000, 0.000000, -1.812884, 0.000000, -0.079121, 0.033528, 0.189175, 0.002224, -0.189841
0.023000, 0.000000, -0.196392, 0.000000, 0.000000, -1.875447, 0.000000, -0.084544, 0.035442, 0.195746, 0.002416, -0.196392
0.024000, 0.000000, -0.202753, 0.000000, 0.000000, -1.936191, 0.000000, -0.089912, 0.037334, 0.202126, 0.002616, -0.202753
0.025000, 0.000000, -0.208926, 0.000000, 0.000000, -1.995140, 0.000000, -0.095214, 0.039203, 0.208317, 0.002821, -0.208926
0.026000, 0.000000, -0.214914, 0.000000, 0.000000, -2.052316, 0.000000, -0.100440, 0.041046, 0.214323, 0.003033, -0.214914
0.027000, 0.000000, -0.220718, 0.000000, 0.000000, -2.107746, 0.000000, -0.105582, 0.042861, 0.220146, 0.003250, -0.220718
0.028000, 0.000000, -0.226343, 0.000000, 0.000000, -2.161456, 0.000000, -0.110635, 0.044646, 0.225788, 0.003474, -0.226343
0.029000, 0.000000, -0.231790, 0.000000, 0.000000, -2.213476, 0.000000, -0.115591, 0.046401, 0.231253, 0.003703, -0.231790
0.030000, 0.000000, -0.237064, 0.000000, 0.000000, -2.263836, 0.000000, -0.120446, 0.048123, 0.236544, 0.003937, -0.237064
0.031000, 0.000000, -0.242166, 0.000000, 0.000000, -2.312566, 0.000000, -0.125196, 0.049813, 0.241664, 0.004176, -0.242166
0.032000, 0.000000, -0.247102, 0.000000, 0.000000, -2.359698, 0.000000, -0.129838, 0.051469, 0.246616, 0.004420, -0.247102
0.033000, 0.000000, -0.251874, 0.000000, 0.000000, -2.405265, 0.000000, -0.134369, 0.053091, 0.251404, 0.004670, -0.251874
0.034000, 0.000000, -0.256485, 0.000000, 0.000000, -2.449300, 0.000000, -0.138787, 0.054679, 0.256031, 0.004924, -0.256485
0.035000, 0.000000, -0.260939, 0.000000, 0.000000, -2.491835, 0.000000, -0.143090, 0.056231, 0.260501, 0.005182, -0.260939
0.036000, 0.000000, -0.265239, 0.000000, 0.000000, -2.532901, 0.000000, -0.147278, 0.057749, 0.264816, 0.005445, -0.265239
0.037000, 0.000000, -0.269390, 0.000000, 0.000000, -2.572538, 0.000000, -0.151351, 0.059232, 0.268982, 0.005712, -0.269390
